"","id","jail","state","county","fips","statecode","treated","year","mortality_rate"
"194",17,"Maricopa County Jail System","Arizona","Maricopa",4013,"AZ",0,2009,0.463821892393321
"195",17,"Maricopa County Jail System","Arizona","Maricopa",4013,"AZ",0,2010,0.660589245607082
"196",17,"Maricopa County Jail System","Arizona","Maricopa",4013,"AZ",0,2011,0.40794125645907
"197",17,"Maricopa County Jail System","Arizona","Maricopa",4013,"AZ",0,2012,0.638488060273273
"198",17,"Maricopa County Jail System","Arizona","Maricopa",4013,"AZ",0,2013,1.11166007905138
"199",17,"Maricopa County Jail System","Arizona","Maricopa",4013,"AZ",0,2014,1.1255627813907
"200",17,"Maricopa County Jail System","Arizona","Maricopa",4013,"AZ",0,2015,1.39099645928174
"201",17,"Maricopa County Jail System","Arizona","Maricopa",4013,"AZ",0,2016,1.34989200863931
"202",17,"Maricopa County Jail System","Arizona","Maricopa",4013,"AZ",0,2017,1.42690361914645
"203",17,"Maricopa County Jail System","Arizona","Maricopa",4013,"AZ",0,2018,1.07324926214113
"204",17,"Maricopa County Jail System","Arizona","Maricopa",4013,"AZ",NA,2019,NA
"205",18,"Mohave County Adult Detention Facility","Arizona","Mohave",4015,"AZ",1,2008,0
"206",18,"Mohave County Adult Detention Facility","Arizona","Mohave",4015,"AZ",1,2009,2.33100233100233
"207",18,"Mohave County Adult Detention Facility","Arizona","Mohave",4015,"AZ",1,2010,2.98507462686567
"208",18,"Mohave County Adult Detention Facility","Arizona","Mohave",4015,"AZ",1,2011,0
"209",18,"Mohave County Adult Detention Facility","Arizona","Mohave",4015,"AZ",1,2012,0
"210",18,"Mohave County Adult Detention Facility","Arizona","Mohave",4015,"AZ",1,2013,1.86915887850467
"211",18,"Mohave County Adult Detention Facility","Arizona","Mohave",4015,"AZ",1,2014,1.92678227360308
"212",18,"Mohave County Adult Detention Facility","Arizona","Mohave",4015,"AZ",1,2015,0
"213",18,"Mohave County Adult Detention Facility","Arizona","Mohave",4015,"AZ",1,2016,2.20264317180617
"214",18,"Mohave County Adult Detention Facility","Arizona","Mohave",4015,"AZ",1,2017,5.88235294117647
"215",18,"Mohave County Adult Detention Facility","Arizona","Mohave",4015,"AZ",1,2018,4.149377593361
"216",18,"Mohave County Adult Detention Facility","Arizona","Mohave",4015,"AZ",1,2019,3.55871886120996
"217",19,"Navajo County Detention Center","Arizona","Navajo",4017,"AZ",0,2008,0
"218",19,"Navajo County Detention Center","Arizona","Navajo",4017,"AZ",0,2009,0
"219",19,"Navajo County Detention Center","Arizona","Navajo",4017,"AZ",0,2010,0
"220",19,"Navajo County Detention Center","Arizona","Navajo",4017,"AZ",0,2011,0
"221",19,"Navajo County Detention Center","Arizona","Navajo",4017,"AZ",0,2012,0
"222",19,"Navajo County Detention Center","Arizona","Navajo",4017,"AZ",0,2013,0
"223",19,"Navajo County Detention Center","Arizona","Navajo",4017,"AZ",0,2014,4.25658706848849
"224",19,"Navajo County Detention Center","Arizona","Navajo",4017,"AZ",0,2015,3.39927935277721
"225",19,"Navajo County Detention Center","Arizona","Navajo",4017,"AZ",0,2016,0
"226",19,"Navajo County Detention Center","Arizona","Navajo",4017,"AZ",0,2017,0
"227",19,"Navajo County Detention Center","Arizona","Navajo",4017,"AZ",0,2018,0
"228",19,"Navajo County Detention Center","Arizona","Navajo",4017,"AZ",0,2019,0
